row,win_year,f1_Ge_w,f1_Sp_w,f1_Po_w,f1_Fr_w,f1_It_w,f3_Ge_w,f3_Sp_w,f3_Po_w,f3_Fr_w,f3_It_w,i_DE_w1,i_DE_w2,i_DE_w3,i_DE_w4,i_DE_w5,i_DE_w6,i_DE_w7,i_DE_w8,i_ES_w1,i_ES_w2,i_ES_w3,i_ES_w4,i_ES_w5,i_ES_w6,i_ES_w7,i_ES_w8,a_DE_w1,a_DE_w2,a_DE_w3,a_DE_w4,a_DE_w5,a_DE_w6,a_DE_w7,a_DE_w8,c_DE_w1,c_DE_w2,c_DE_w3,c_DE_w4,c_DE_w5,c_DE_w6,c_DE_w7,c_DE_w8,c_ES_w1,c_ES_w2,c_ES_w3,c_ES_w4,c_ES_w5,c_ES_w6,c_ES_w7,c_ES_w8,d_PT_w1,d_PT_w2,d_PT_w3,d_PT_w4,d_PT_w5,d_PT_w6,d_PT_w7,d_PT_w8,n_DE_w1,n_DE_w2,n_DE_w3,n_DE_w4,n_DE_w5,n_DE_w6,n_DE_w7,n_DE_w8
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,33.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,75.0,52.0,39.19,113.05,189.0,105.83,86.11,90.79,83.28,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,3.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,89.0,51.8,38.99,110.0,186.43,105.0,85.0,89.59,81.78,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,11.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,2.0,13.0,105.0,51.59,38.61,107.49,184.94,104.0,83.82,88.09,80.49,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,31.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,2.0,13.0,123.0,51.38,38.3,105.12,182.49,103.09,82.29,86.08,78.76,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,45.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,2.0,13.0,134.0,51.19,38.05,103.55,180.18,102.0,81.17,85.0,77.37,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,51.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,10.0,13.0,148.0,51.0,37.82,101.47,179.9,101.0,79.96,83.34,75.88,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,54.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,10.0,13.0,163.0,50.87,37.55,100.03,178.04,100.0,78.05,82.03,73.96,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,57.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,10.0,13.0,178.0,50.55,37.21,99.19,176.07,99.7,76.15,80.4,71.23,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,57.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,10.0,13.0,191.0,50.45,37.0,97.91,174.96,99.0,75.0,79.43,68.55,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,57.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,14.0,0.0,21.0,10.0,13.0,208.0,50.24,36.7,96.08,172.77,97.96,73.55,78.0,65.85,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,59.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,17.0,0.0,21.0,10.0,13.0,225.0,50.1,36.29,95.0,171.04,96.94,71.94,76.78,63.85,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,83.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,17.0,0.0,21.0,10.0,13.0,238.0,50.0,36.06,93.51,170.0,95.7,70.74,75.47,61.62,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,88.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,17.0,0.0,21.0,10.0,13.0,247.0,49.87,35.66,92.54,168.52,95.0,69.74,73.9,59.03,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,88.0,12.0,8.0,28.0,33.0,17.0,12.0,0.0,0.0,17.0,0.0,21.0,10.0,13.0,252.0,49.53,35.21,91.45,166.78,94.09,68.0,72.18,55.52,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,88.0,12.0,15.0,28.0,33.0,17.0,12.0,0.0,0.0,17.0,0.0,21.0,10.0,13.0,264.0,49.2,35.0,90.07,165.02,93.32,66.01,70.77,53.33,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,88.0,12.0,15.0,28.0,33.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,10.0,13.0,271.0,49.0,34.64,89.5,163.95,92.5,64.93,69.99,50.03,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,88.0,12.0,15.0,28.0,33.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,10.0,13.0,278.0,48.87,34.27,88.61,162.12,91.82,63.09,68.64,46.54,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,110.0,12.0,15.0,28.0,33.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,10.0,13.0,286.0,48.56,34.01,87.34,160.96,91.0,61.28,66.62,43.0,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,119.0,12.0,15.0,28.0,36.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,14.0,13.0,293.0,48.34,33.64,86.6,160.0,90.3,60.0,65.0,39.7,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,120.0,12.0,15.0,28.0,36.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,20.0,13.0,300.0,48.03,33.32,85.08,158.26,90.0,58.83,62.56,36.74,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,120.0,12.0,15.0,28.0,36.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,25.0,13.0,306.0,47.8,33.01,84.27,156.17,89.42,56.83,60.33,35.01,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,120.0,12.0,15.0,28.0,36.0,17.0,12.0,0.0,0.0,29.0,0.0,21.0,33.0,13.0,313.0,47.5,32.7,83.35,155.0,88.44,55.2,58.58,33.15,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,120.0,12.0,15.0,28.0,36.0,17.0,15.0,0.0,0.0,29.0,0.0,21.0,44.0,13.0,318.0,47.25,32.32,82.54,153.33,87.46,54.0,55.91,30.98,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,121.0,12.0,15.0,28.0,36.0,17.0,20.0,0.0,0.0,29.0,0.0,21.0,51.0,13.0,325.0,47.01,32.05,81.07,151.94,86.24,51.99,53.69,28.96,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,122.0,12.0,15.0,28.0,36.0,17.0,25.0,0.0,0.0,29.0,0.0,21.0,58.0,13.0,333.0,46.85,31.66,80.0,150.3,85.2,50.2,51.41,26.69,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,137.0,12.0,15.0,28.0,36.0,17.0,25.0,0.0,0.0,29.0,0.0,21.0,71.0,13.0,338.0,46.5,31.26,79.19,149.95,84.82,49.05,50.0,24.24,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,137.0,12.0,15.0,28.0,36.0,19.0,25.0,0.0,0.0,29.0,0.0,21.0,81.0,13.0,339.0,46.18,30.96,78.02,148.58,83.9,47.22,47.56,22.82,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,137.0,12.0,15.0,28.0,36.0,19.0,25.0,0.0,0.0,29.0,0.0,21.0,98.0,13.0,339.0,46.0,30.58,76.72,147.62,82.85,45.38,45.59,20.54,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,137.0,12.0,15.0,28.0,36.0,24.0,25.0,0.0,0.0,29.0,0.0,21.0,98.0,13.0,339.0,45.77,30.29,75.57,146.0,81.76,43.64,43.78,18.29,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,137.0,12.0,15.0,28.0,36.0,26.0,25.0,0.0,0.0,29.0,0.0,21.0,98.0,13.0,339.0,45.5,30.02,74.53,144.95,80.5,41.8,41.22,15.73,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,137.0,12.0,15.0,28.0,36.0,26.0,25.0,0.0,0.0,29.0,0.0,21.0,98.0,13.0,339.0,45.17,29.9,73.35,143.0,80.0,40.08,39.68,13.71,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,137.0,12.0,15.0,28.0,36.0,29.0,26.0,0.0,0.0,29.0,0.0,21.0,102.0,16.0,339.0,45.0,29.51,72.02,141.11,78.85,38.51,37.93,11.74,,,,,,,,
